state	year	virus	epiweek_end	result_count
SAO PAULO	2022	flub	2022-11-19	5
SAO PAULO	2022	flub	2022-11-26	2
SAO PAULO	2022	flub	2022-12-03	2
SAO PAULO	2022	flub	2022-12-10	1
SAO PAULO	2022	flub	2022-12-17	3
SAO PAULO	2022	flub	2022-12-24	2
SAO PAULO	2022	flub	2022-12-31	3
SAO PAULO	2022	vsr	2022-01-01	18
SAO PAULO	2022	vsr	2022-01-08	133
SAO PAULO	2022	vsr	2022-01-15	109
SAO PAULO	2022	vsr	2022-01-22	87
SAO PAULO	2022	vsr	2022-01-29	62
SAO PAULO	2022	vsr	2022-02-05	93
SAO PAULO	2022	vsr	2022-02-12	101
SAO PAULO	2022	vsr	2022-02-19	107
SAO PAULO	2022	vsr	2022-02-26	148
SAO PAULO	2022	vsr	2022-03-05	156
SAO PAULO	2022	vsr	2022-03-12	124
SAO PAULO	2022	vsr	2022-03-19	134
SAO PAULO	2022	vsr	2022-03-26	185
SAO PAULO	2022	vsr	2022-04-02	179
SAO PAULO	2022	vsr	2022-04-09	191
SAO PAULO	2022	vsr	2022-04-16	172
SAO PAULO	2022	vsr	2022-04-23	189
SAO PAULO	2022	vsr	2022-04-30	152
SAO PAULO	2022	vsr	2022-05-07	121
SAO PAULO	2022	vsr	2022-05-14	127
SAO PAULO	2022	vsr	2022-05-21	116
SAO PAULO	2022	vsr	2022-05-28	80
SAO PAULO	2022	vsr	2022-06-04	88
SAO PAULO	2022	vsr	2022-06-11	83
SAO PAULO	2022	vsr	2022-06-18	73
SAO PAULO	2022	vsr	2022-06-25	75
SAO PAULO	2022	vsr	2022-07-02	69
SAO PAULO	2022	vsr	2022-07-09	70
SAO PAULO	2022	vsr	2022-07-16	40
SAO PAULO	2022	vsr	2022-07-23	28
SAO PAULO	2022	vsr	2022-07-30	18
SAO PAULO	2022	vsr	2022-08-06	28
SAO PAULO	2022	vsr	2022-08-13	25
SAO PAULO	2022	vsr	2022-08-20	27
SAO PAULO	2022	vsr	2022-08-27	21
SAO PAULO	2022	vsr	2022-09-03	23
SAO PAULO	2022	vsr	2022-09-10	31
SAO PAULO	2022	vsr	2022-09-17	43
SAO PAULO	2022	vsr	2022-09-24	66
SAO PAULO	2022	vsr	2022-10-01	73
SAO PAULO	2022	vsr	2022-10-08	137
SAO PAULO	2022	vsr	2022-10-15	162
SAO PAULO	2022	vsr	2022-10-22	192
SAO PAULO	2022	vsr	2022-10-29	163
SAO PAULO	2022	vsr	2022-11-05	177
SAO PAULO	2022	vsr	2022-11-12	202
SAO PAULO	2022	vsr	2022-11-19	199
SAO PAULO	2022	vsr	2022-11-26	171
SAO PAULO	2022	vsr	2022-12-03	172
SAO PAULO	2022	vsr	2022-12-10	201
SAO PAULO	2022	vsr	2022-12-17	172
SAO PAULO	2022	vsr	2022-12-24	183
SAO PAULO	2022	vsr	2022-12-31	154
SAO PAULO	2023	covid	2023-01-07	626
SAO PAULO	2023	covid	2023-01-14	499
SAO PAULO	2023	covid	2023-01-21	380
SAO PAULO	2023	covid	2023-01-28	335
SAO PAULO	2023	covid	2023-02-04	379
SAO PAULO	2023	covid	2023-02-11	492
SAO PAULO	2023	covid	2023-02-18	598
SAO PAULO	2023	covid	2023-02-25	667
SAO PAULO	2023	covid	2023-03-04	787
SAO PAULO	2023	covid	2023-03-11	693
SAO PAULO	2023	covid	2023-03-18	598
SAO PAULO	2023	covid	2023-03-25	551
SAO PAULO	2023	covid	2023-04-01	361
SAO PAULO	2023	covid	2023-04-08	268
SAO PAULO	2023	covid	2023-04-15	241
SAO PAULO	2023	covid	2023-04-22	199
SAO PAULO	2023	covid	2023-04-29	149
SAO PAULO	2023	covid	2023-05-06	149
SAO PAULO	2023	covid	2023-05-13	162
SAO PAULO	2023	covid	2023-05-20	202
SAO PAULO	2023	covid	2023-05-27	144
SAO PAULO	2023	covid	2023-06-03	125
SAO PAULO	2023	covid	2023-06-10	84
SAO PAULO	2023	covid	2023-06-17	97
SAO PAULO	2023	covid	2023-06-24	118
SAO PAULO	2023	covid	2023-07-01	118
SAO PAULO	2023	covid	2023-07-08	97
SAO PAULO	2023	covid	2023-07-15	97
SAO PAULO	2023	covid	2023-07-22	88
SAO PAULO	2023	covid	2023-07-29	126
SAO PAULO	2023	covid	2023-08-05	133
SAO PAULO	2023	covid	2023-08-12	150
SAO PAULO	2023	covid	2023-08-19	175
SAO PAULO	2023	covid	2023-08-26	181
SAO PAULO	2023	covid	2023-09-02	227
SAO PAULO	2023	covid	2023-09-09	270
SAO PAULO	2023	covid	2023-09-16	310
SAO PAULO	2023	covid	2023-09-23	422
SAO PAULO	2023	covid	2023-09-30	415
SAO PAULO	2023	covid	2023-10-07	579
SAO PAULO	2023	covid	2023-10-14	560
SAO PAULO	2023	covid	2023-10-21	747
SAO PAULO	2023	covid	2023-10-28	673
SAO PAULO	2023	covid	2023-11-04	501
SAO PAULO	2023	covid	2023-11-11	431
SAO PAULO	2023	covid	2023-11-18	350
SAO PAULO	2023	covid	2023-11-25	244
SAO PAULO	2023	covid	2023-12-02	142
SAO PAULO	2023	covid	2023-12-09	133
SAO PAULO	2023	covid	2023-12-16	106
SAO PAULO	2023	covid	2023-12-23	100
SAO PAULO	2023	covid	2023-12-30	121
SAO PAULO	2023	covid	2024-01-06	18
SAO PAULO	2023	flua	2023-01-07	5
SAO PAULO	2023	flua	2023-01-14	8
SAO PAULO	2023	flua	2023-01-21	8
SAO PAULO	2023	flua	2023-01-28	5
SAO PAULO	2023	flua	2023-02-04	12
SAO PAULO	2023	flua	2023-02-11	12
SAO PAULO	2023	flua	2023-02-18	15
SAO PAULO	2023	flua	2023-02-25	19
SAO PAULO	2023	flua	2023-03-04	18
SAO PAULO	2023	flua	2023-03-11	18
SAO PAULO	2023	flua	2023-03-18	33
SAO PAULO	2023	flua	2023-03-25	51
SAO PAULO	2023	flua	2023-04-01	72
SAO PAULO	2023	flua	2023-04-08	78
SAO PAULO	2023	flua	2023-04-15	134
SAO PAULO	2023	flua	2023-04-22	147
SAO PAULO	2023	flua	2023-04-29	141
SAO PAULO	2023	flua	2023-05-06	178
SAO PAULO	2023	flua	2023-05-13	172
SAO PAULO	2023	flua	2023-05-20	192
SAO PAULO	2023	flua	2023-05-27	234
SAO PAULO	2023	flua	2023-06-03	174
SAO PAULO	2023	flua	2023-06-10	176
SAO PAULO	2023	flua	2023-06-17	126
SAO PAULO	2023	flua	2023-06-24	87
SAO PAULO	2023	flua	2023-07-01	64
SAO PAULO	2023	flua	2023-07-08	56
SAO PAULO	2023	flua	2023-07-15	42
SAO PAULO	2023	flua	2023-07-22	25
